Brnd_Name,Gnrc_Name,Tot_Mftr,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Tot_Benes_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Avg_Spnd_Per_Bene_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Avg_Spnd_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Avg_Spnd_Per_Bene_2022,Outlier_Flag_2022,Chg_Avg_Spnd_Per_Dsg_Unt_21_22,CAGR_Avg_Spnd_Per_Dsg_Unt_18_22
Cimetidine,Cimetidine,2,4035323.26,5590429.5,68236,22694,0.747354178,59.13774635,177.8145439,0,1889776.84,2750826,36260,17368,0.712294138,52.11739768,108.807971,0,11256231.17,14458297,189039,62391,0.793363271,59.54449172,180.4143413,0,9950888.52,13091297,160677,42938,0.76969493,61.93100767,231.7501635,0,8230188.51,10677449,125615,33605,0.778476254,65.51915384,244.9096417,0,0.011408837,0.010252016
Cimetidine,Cimetidine HCl,3,31496.04,223105,689,280,0.141171377,45.71268505,112.4858571,0,70259.4,442213.4,1329,489,0.15888121,52.86636569,143.6797546,0,93170.59,593523.5,1708,528,0.156978772,54.54952576,176.4594508,0,86836.18,424224.5,1040,289,0.20549327,83.49632692,300.4712111,0,83005.42,374027,891,242,0.223404176,93.15984287,342.9976033,0,0.087160545,0.121595244
Cimzia,Certolizumab PEGol,1,164604113.8,40071.048,32056,4936,4107.979786,5134.892496,33347.67298,0,184678937.3,41894.5,32145,4983,4408.597117,5745.183927,37061.79758,0,202830762.5,43007,32589,4835,4716.617447,6223.902619,41950.51964,0,221650521.5,44673,34541,5160,4962.093209,6417.026765,42955.52742,0,251088510.7,47433,37065,5435,5293.916632,6774.275212,46198.43804,0,0.066871663,0.065460123
Cinacalcet HCl,Cinacalcet HCl,14,,,,,,,,,91371687.63,3518495,95327,26587,25.83492866,958.5079529,3436.705444,0,182376277.3,8545427.624,225738,37269,21.31565176,807.9112835,4893.511426,0,138222937.9,10039003.31,219508,41701,14.2300538,629.6943069,3314.619264,0,120410538.7,11287882.85,229164,46410,11.13850788,525.4339194,2594.495555,0,-0.217254689,-0.244548508
Cinqair,Reslizumab,1,831763.62,9211,308,51,90.3011204,2700.531234,16309.09059,0,954632.44,9990.1,321,50,95.55784627,2973.932835,19092.6488,0,889073.14,9223.1,288,38,96.39634613,3087.059514,23396.66158,0,1039209.75,10217,306,38,101.7137859,3396.110294,27347.625,0,860240.82,8030,233,31,107.1283711,3692.020687,27749.70387,0,0.053233544,0.043645106
Cinryze,C1 Esterase Inhibitor,1,97049540.67,33118,1498,199,2930.416712,64786.07521,487686.134,0,65195574.07,22123,958,115,2946.959005,68053.83515,566918.0354,0,55378406.72,18771,778,89,2950.210789,71180.47136,622229.289,0,47239734.56,15510,599,67,3045.759804,78864.33149,705070.6651,0,45176662.07,14330,519,58,3152.593306,87045.59166,778907.9667,0,0.035076141,0.018438109
Cinvanti,Aprepitant,1,39593.57,2306,98,33,17.16980486,404.0160204,1199.805152,0,70302.38,3636,163,51,19.33508801,431.3029448,1378.478039,0,54703.78,2592,101,38,21.1048534,541.6215842,1439.573158,0,271607.62,11376,152,45,23.87549402,1786.892237,6035.724889,0,150017.6,6130,210,59,24.47269168,714.3695238,2542.671186,0,0.025012997,0.092645031
Cipro,Ciprofloxacin,1,380614.76,269869,2218,1836,1.421631901,171.6026871,207.3065142,0,375772.6,254818,2059,1635,1.483328616,182.5024769,229.8303364,0,394551.03,266875,2197,1772,1.489510831,179.5862676,222.6585948,0,415819.54,281784,2268,1789,1.485705121,183.3419489,232.4312689,0,387641.27,257984,2153,1798,1.511614786,180.0470367,215.595812,0,0.017439305,0.015461571
Cipro,Ciprofloxacin HCl,1,100234.82,17871,886,571,5.61812627,113.131851,175.5425919,0,72024.61,12818,578,343,5.635243339,124.6100519,209.9842857,0,69770.73,12354,558,331,5.594711416,125.0371505,210.7877039,0,55410.91,10088,461,306,5.432064249,120.1972017,181.0814052,0,36376.33,7476,444,333,4.822267518,81.92867117,109.2382282,0,-0.112258748,-0.037468501
Cipro HC,Ciprofloxacin/Hydrocortisone,2,3557615.76,115394,11266,10000,30.8301624,315.7833978,355.761576,0,3402478.4,104587.93,10321,9207,32.53222815,329.665575,369.5534267,0,3124902.99,96496.5,9505,8483,32.38358894,328.7641231,368.3723907,0,2973141.02,91011.7,8953,7964,32.66767921,332.0832146,373.3225791,0,2802111.5,83617.5,8230,7399,33.51279177,340.4752734,378.7148939,0,0.025869991,0.021077482
Ciprodex,Ciprofloxacin HCl/Dexameth,1,,,,174278,,,,,,,,179771,,,,,12386.42,360,43,128036,34.40672222,288.0562791,0.096741698,0,4330478.12,128538.5,16874,19435,33.6901249,256.6361337,222.8185295,0,6159648.34,177678.5,23371,18390,34.66738148,263.5594686,334.9455324,0,0.029007211,0.003780765
Ciprofloxacin HCl*,Ciprofloxacin HCl,20,41963151.5,84782736.98,5619948,4203896,0.555132987,7.466822024,9.981967085,0,40661103.86,80254335.18,5296754,3833051,0.566165089,7.676607949,10.60802579,0,32685082.53,73300971.73,4844803,3471489,0.511402705,6.746421378,9.415291977,0,30603480.3,71343813.38,4743943,3433570,0.502008857,6.451064083,8.913020646,0,36252419.13,69773086.12,4687905,3410180,0.597795221,7.733181268,10.63064681,0,0.190806122,0.018682513
Ciprofloxacin HCl-Fluocinolone,Ciprofloxacin HCl/Fluocinolone,1,,,,,,,,,,,,,,,,,,,,281,,,,,,,,269,,,,,41655.07,2702,164,132,15.41638416,253.9943293,315.5687121,0,,
Ciprofloxacin-D5W,Ciprofloxacin In 5 % Dextrose,3,99390.87,4707894,2905,1284,0.02133789,34.21372461,77.40721963,0,104734.39,4840639,2907,1218,0.02197109,36.02834193,85.98882594,0,99964.38,4290486.94,2605,1187,0.026033782,38.37404223,84.21598989,0,76116.73,3784999,2228,934,0.021157743,34.16370287,81.49542827,0,64054.34,2995247,1904,738,0.022480499,33.64198529,86.79449865,0,0.062518739,0.013126361
Ciprofloxacin-Dexamethasone,Ciprofloxacin HCl/Dexameth,3,,,,,,,,,,,,,,,,,8282312.68,345378,45022,39241,23.98123226,183.9614562,211.0627324,0,35876821.82,1556630.188,203849,157396,23.04808078,175.997046,227.9398576,0,36351097.6,1707393.508,223593,175636,21.29038163,162.5770825,206.9683755,0,-0.076262278,-0.057772066
Cisplatin,Cisplatin,5,23367.43,74614,437,174,0.314278509,53.47237986,134.2955747,0,32766.06,103708,546,206,0.316097401,60.0110989,159.0585437,0,22492.02,73900,471,156,0.304409871,47.75375796,144.1796154,0,29247.85,93291,563,182,0.312982116,51.95,160.7024725,0,37713.1,105153,608,231,0.360852717,62.028125,163.2601732,0,0.152949957,0.035151281
Citalopram HBr,Citalopram Hydrobromide,19,59998837.35,443435897.9,8530842,1742935,0.13609236,7.033167107,34.42402462,0,65567327.74,467614810.9,8371252,1683016,0.140439735,7.832439848,38.95823197,0,61957441.9,464883839.3,7953152,1603290,0.133140972,7.790300236,38.64393959,0,59287621.37,450271351.3,7473397,1558615,0.131139647,7.933155615,38.03865699,0,58992931.24,439673624.9,7164336,1504680,0.134955396,8.234249656,39.20629718,0,0.029096835,-0.002095165
Citranatal B-Calm,Prenatal 48/Iron/Folic Acid/B6,1,2390.89,2220,25,14,1.076977478,95.6356,170.7778571,1,1411.47,1260,14,11,1.120214286,100.8192857,128.3154546,1,3007.01,2520,32,17,1.193257937,93.9690625,176.8829412,0,3448.34,2730,31,19,1.263128205,111.2367742,181.491579,0,2335.39,1830,21,,1.276169399,111.2090476,,1,0.010324521,0.043338963
Claravis,Isotretinoin,1,1153360.25,183714,3928,1500,6.202846641,293.6253182,768.9068333,0,1181230.38,220012,4722,1637,5.335272609,250.154676,721.5823946,0,1033440.47,214156,4722,1692,4.779936208,218.8565163,610.7804196,0,960160.74,186265,4234,1587,5.083829827,226.7739112,605.0162193,0,795782.22,160040,3670,1437,4.921636297,216.8343924,553.7802505,0,-0.031903808,-0.056200771
Clarinex,Desloratadine,2,886619.79,126890.5,2238,604,7.10345619,396.166126,1467.91356,0,927010.44,130999,2062,524,7.084379455,449.5685936,1769.103893,0,915558.24,129752,1964,498,7.056216783,466.1701833,1838.470361,0,681564.36,94618,1538,426,7.205481029,443.1497789,1599.916338,0,415034.38,53869,778,222,7.702384601,533.4632134,1869.524234,0,0.068961888,0.020443288
Clarinex-D 12 Hour,Desloratadine/Pseudoephedrine,2,1069701.81,220732,2431,802,4.84615647,440.0254258,1333.792781,0,1029493.53,213119,2253,761,4.83060417,456.9434221,1352.816728,0,937807.61,194821,1955,638,4.813688514,479.6969872,1469.917884,0,807727.13,167066,1626,528,4.839987345,496.7571525,1529.786231,0,715507.48,141568,1333,437,5.05538029,536.7648012,1637.316888,0,0.044502791,0.010622818
Clarithromycin,Clarithromycin,8,11847166.05,8035643.5,313309,268371,1.48723134,37.81304096,44.14473267,0,11013224.63,7796042,305481,257008,1.416557623,36.05207731,42.85168022,0,8582433.43,5935625.5,222018,182204,1.448629992,38.65647574,47.10343039,0,7124165.33,5518947,202465,170029,1.288299579,35.18714509,41.89970729,0,7039385.14,5402468,203150,171008,1.301863371,34.65116978,41.16406917,0,0.010528446,-0.032732224
Clarithromycin ER,Clarithromycin,3,1333301.37,402576,17767,13847,3.311866183,75.0436973,96.28810356,0,1312719.64,334670,14022,10965,3.936246454,93.61857367,119.7190734,0,801457,194152,7724,5705,4.127140849,103.7619109,140.4832603,0,613110.78,153885,5535,3962,3.986796238,110.7697886,154.7477991,0,598743.89,126029,4819,3488,4.751498324,124.2465014,171.6582253,0,0.19180867,0.094433681
Clemastine Fumarate,Clemastine Fumarate,2,307555.69,314613,4144,1243,0.977568282,74.21710666,247.4301609,0,297252.61,322507.5,3964,1169,0.921692085,74.9880449,254.2793926,0,200322.57,196180.5,2523,875,1.021113566,79.39856124,228.94008,0,1593366.96,266797,2258,776,2.629329019,705.654101,2053.307938,0,24697826.9,1773720,5981,1655,10.47709032,4129.380856,14923.15825,0,2.984701132,0.809353382
Clenpiq,Sod Picosulf/Mag Ox/Citric Ac,1,1188653.29,2875030,9076,8964,0.413440308,130.9666472,132.6029998,0,4045528.16,9096569,28495,28092,0.444731212,141.9732641,144.009973,0,4099468.48,8889189,27808,27268,0.461174634,147.4204718,150.3399032,0,11805905.54,23861825.5,74718,73133,0.494761205,158.0061771,161.4306201,0,19613504.51,37920553,118596,115822,0.517226226,165.3808266,169.3417875,0,0.045405785,0.057589013
Cleocin,Clindamycin Phosphate,1,271173.36,5016,1126,911,57.54147807,240.8289165,297.6655982,0,217363.82,3990,907,744,58.95151999,239.6514002,292.155672,0,201436.7,3558,816,632,59.35355298,246.858701,318.7289557,0,186963.62,3208,692,552,60.11077796,270.1786416,338.7022101,0,165477.7,2762,533,411,62.97151632,310.464728,402.6221411,0,0.047591105,0.022800153
Cleocin HCl,Clindamycin HCl,1,42341.67,3393,137,76,13.02815748,309.0632847,557.1272368,1,32924.26,2551,107,67,13.61381691,307.7033645,491.4068657,1,1818.7,4104,144,128,0.430634698,12.62986111,14.20859375,0,705.16,2192,90,76,0.317769824,7.835111111,9.278421053,0,798.65,2406,74,64,0.345204964,10.79256757,12.47890625,0,0.086336518,-0.596541836
Cleocin Phosphate*,Clindamycin Phosphate,1,31767.14,44920.046,433,146,0.707792453,73.3652194,217.5831507,0,16976.22,41855.992,233,97,0.405586373,72.85931331,175.0125773,0,11800.57,20448.012,194,87,0.577101089,60.82768041,135.6387356,0,8273.86,25042.014,137,53,0.330399144,60.39313869,156.110566,0,3360.24,14564.4,56,23,0.230715992,60.00428571,146.0973913,1,-0.301705236,-0.244398271
Cleocin T,Clindamycin Phosphate,1,26249.84,7380,106,44,3.582008978,247.64,596.5872727,0,19666.38,5670,81,31,3.483588985,242.7948148,634.3993548,0,13462.51,7320,106,51,1.878459849,127.0048113,263.9707843,0,12290.67,7410,105,60,1.667703317,117.054,204.8445,0,14706.1,8400,134,79,1.750726191,109.7470149,186.1531646,0,0.04978276,-0.163871764
Clickfine,"Pen Needle, Diabetic",1,133984.16,522147,3375,1737,0.250826433,39.69901037,77.13538284,0,131252.55,519880,3376,1644,0.249393833,38.878125,79.83731752,0,93907.48,407956,2782,1301,0.230896281,33.75538462,72.18099923,0,121181.11,474238,2952,1402,0.255412058,41.05051152,86.43445792,0,85103.05,319980,1897,1010,0.265209745,44.86191355,84.26044555,0,0.038360314,0.014037565
Climara,Estradiol,1,5211855.64,299085,30224,8371,17.47200628,172.4409622,622.6084864,0,5599124.07,307801,30938,8315,18.23827267,180.9788632,673.3763163,0,5869462.56,324393,31574,8383,18.14282684,185.895438,700.1625385,0,5690657.16,303274,29129,8017,18.82125856,195.3605397,709.8237695,0,4658567.33,240671,23345,7379,19.42923947,199.553109,631.3277314,0,0.032302883,0.026900242
Climara Pro,Estradiol/Levonorgestrel,1,2715114.35,53680,8550,2015,50.57962649,317.5572339,1347.45129,0,2987076.93,56320,8661,2038,53.03758754,344.8882265,1465.690348,0,3255417.81,58746,8506,1959,55.41513992,382.7201752,1661.775299,0,3361508.74,56826,8262,1940,59.15441418,406.863803,1732.736464,0,3539843.26,57722,8203,1925,61.32572087,431.5303255,1838.879616,0,0.036705743,0.049341288
Clindacin Etz,Clindamycin Phosphate,1,,,,,,,,,4944.74,2529,40,32,1.9552155,123.6185,154.523125,1,4854.73,3480,54,42,1.395037356,89.90240741,115.5888095,0,14612.92,10320,164,121,1.41598062,89.10317073,120.7679339,0,3458.26,4080,63,58,0.847612745,54.89301587,59.62517241,0,-0.401395236,-0.243165451
Clindacin P,Clindamycin Phosphate,1,13841.03,4725,64,50,2.929318519,216.2660938,276.8206,0,20231.78,9666,131,77,2.09308711,154.4410687,262.7503896,0,7414.07,6210,78,47,1.19389211,95.05217949,157.7461702,0,28694.27,10332,133,94,2.77722319,215.746391,305.2581915,1,45105.62,22605,278,174,1.995382438,162.2504317,259.2277012,1,-0.281518877,-0.091521012
Clindagel,Clindamycin Phosphate,1,1172276.01,50240,558,352,23.33351931,2100.853065,3330.329574,0,871228.28,38880,269,132,22.40813477,3238.76684,6600.214242,0,472867.04,21300,242,126,22.20033052,1953.996033,3752.913016,0,537624.44,22875,243,110,23.50270776,2212.446255,4887.494909,0,408784.21,16425,154,66,24.88792755,2654.442922,6193.700152,0,0.058938732,0.016253658
Clindamycin (Pediatric),Clindamycin Palmitate HCl,6,1137217.58,3214921,7628,5875,0.352775089,149.0846329,193.5689498,0,1098115.15,3199297,7649,5924,0.342296311,143.5632305,185.3671759,0,914985.06,2877715,6755,5280,0.318044692,135.4530067,173.292625,0,792575.57,2903681,6947,5258,0.272968516,114.0888974,150.7370806,0,736900.46,2453410,5981,4440,0.29923715,123.2068985,165.9685721,0,0.0962332,-0.040313468
Clindamycin HCl,Clindamycin HCl,10,22366780.33,65437948.13,2425291,1776343,0.347340485,9.222307892,12.59147604,0,23575756.92,65179460.47,2450785,1795185,0.367234811,9.619675704,13.1327729,0,20640850.61,60493738.72,2259169,1650908,0.347211213,9.136479214,12.50272614,0,21732284.31,61190867.86,2360442,1721262,0.360667782,9.206870709,12.62578522,0,23957186.01,58693801.41,2283328,1673513,0.414823709,10.49222276,14.31550637,0,0.150154602,0.04538687
Clindamycin Phos-Benzoyl Perox,Clindamycin Phos/Benzoyl Perox,7,417963.32,153186,3205,2259,2.709888981,130.4097722,185.02139,0,485152.5,186516,3871,2495,2.550879386,125.3300181,194.4498998,0,369489.17,182781,3761,2126,1.999044485,98.24226801,173.7954704,0,373220.04,206290,4276,2333,1.776035205,87.28251637,159.9742992,0,383167.88,222500,4561,2507,1.69501957,84.0096207,152.8392022,0,-0.045616007,-0.110684617
Clindamycin Phos-Tretinoin,Clindamycin/Tretinoin,4,163925.79,17160,316,223,9.555741671,518.7525,735.0932287,0,160524.1,16890,346,214,9.530634285,463.9424856,750.1126168,0,165987.95,17550,346,192,9.46022121,479.7339595,864.5205729,0,169819.76,18660,308,178,9.157485551,551.3628571,954.0435955,0,312806.78,33210,332,179,9.345278096,942.1890964,1747.523911,0,0.020506999,-0.005552278
Clindamycin Phosphate*,Clindamycin Phosphate,17,37048744.97,36598455.83,399061,234087,1.278374035,92.83980387,158.2691263,0,47026118.35,58390391.84,478775,260672,1.17469884,98.22174999,180.4034125,0,33146164.79,31783135.09,480840,244084,1.129301285,68.9338757,135.7981875,0,31225077.26,29095673.47,505350,263089,1.065307364,61.78901209,118.6863657,0,30611738.19,30700578.78,531947,274218,1.002042992,57.54659429,111.6328549,0,-0.059386026,-0.059070459
Clindamycin Phosphate-D5W,Clindamycin Phosphate/D5W,2,119162.05,590231.68,1030,480,0.201295715,115.6913107,248.2542708,0,118713.9,572524,999,470,0.206757042,118.8327327,252.582766,0,113355.44,547212,933,422,0.209175903,121.4956485,268.6147867,0,92863.6,421376,709,345,0.218350606,130.9782793,269.1698551,0,134241.13,619209.66,966,412,0.218119623,138.9659731,325.8279854,0,-0.001057852,0.020269848
Clindamycin-0.9% NaCl,Clindamycin In 0.9 % Sod Chlor,1,34667.19,135754,232,99,0.245225069,149.4275431,350.1736364,0,23799.73,112716,198,105,0.209715391,120.2006566,226.6640952,0,28100.41,127316,240,132,0.229893752,117.0850417,212.8818939,0,24056.19,106859,182,95,0.227243572,132.1768681,253.2230526,0,23871.1,101952,200,102,0.238361235,119.3555,234.0303922,0,0.048923993,-0.007072154
Clindamycin-Benzoyl Peroxide,Clindamycin Phos/Benzoyl Perox,7,3901823.09,815798,16218,8125,4.782204694,240.5859594,480.2243803,0,3575076.41,858769,17459,8398,4.157659277,204.769827,425.705693,0,2642973.15,778557,15925,8020,3.403460832,165.9637771,329.5477743,0,2492534.14,861231,18327,8785,2.892654419,136.0033906,283.72614,0,2156402.85,862705,18359,8773,2.508824647,117.4575331,245.7999373,0,-0.132691195,-0.148939299
Clindesse,Clindamycin Phosphate,1,109555.48,4541.567,745,582,24.1228369,147.0543356,188.2396564,0,88002.79,3522.133,515,397,24.98565216,170.8792039,221.6694962,0,72015.61,2862.4,329,249,25.15917063,218.8924316,289.2193173,0,66494.57,2555.635,322,225,26.0188055,206.5048758,295.5314222,0,53595.23,2043.2,289,212,26.23102486,185.4506228,252.8076887,0,0.008156384,0.021166878
Clinimix,Amino Acid 8 % In D14w,1,,,,,,,,,,,,,,,,,,,,,,,,,15293.28,14139,95,,1.081638023,160.9818947,,1,22715.52,200900,40,,0.11306879,567.888,,1,-0.895465222,-0.895465222
Clinimix,Amino Acids 4.25 %/Dextrose 5%,1,,,,,,,,,,,,,,,,,3141.91,90000,21,,0.034910111,149.6147619,,1,6075.28,163000,28,13,0.037271656,216.9742857,467.3292308,1,8536.06,220000,34,15,0.038800273,251.0605882,569.0706667,1,0.041012835,0.054245543
Clinimix E,Aa 4.25%/Calcium/Lytes/Dex 10%,1,10336.33,262000,44,11,0.039451641,234.9165909,939.6663636,0,3070.1,66200,13,,0.046376133,236.1615385,,1,12027,323005,33,11,0.037234718,364.4545455,1093.363636,1,,,,,,,,,3636.26,86000,12,,0.042282093,303.0216667,,1,,0.0174729
Clinimix E,Aa 5 %/Calcium/Lytes/Dext 20 %,1,50331.12,817056,138,24,0.061600576,364.7182609,2097.13,0,67862.73,1170660,183,20,0.057969633,370.8345902,3393.1365,0,53592.98,907002,165,28,0.059088051,324.8059394,1914.035,0,28911.25,380011,107,13,0.076080035,270.1985981,2223.942308,0,19534.68,389600,64,,0.050140349,305.229375,,0,-0.340952598,-0.050159583
Clinimix E,Aa 5%/D15w/Electrolytes,1,99262.87,1924557,226,26,0.051576997,439.2162389,3817.802692,0,72509.2,1584004,172,23,0.045775895,421.5651163,3152.573913,0,41938.46,920069,138,23,0.045581864,303.9018841,1823.411304,0,19210.16,459000,41,,0.0418522,468.5404878,,0,8030.74,174526.76,21,,0.046014376,382.4161905,,1,0.09944939,-0.028127324
Clinimix E,Amino Ac 8 %/D10w/Electrolytes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4725.88,51000,15,,0.092664314,315.0586667,,1,,
Clinimix E,Amino Ac 8 %/D14w/Electrolytes,1,,,,,,,,,,,,,,,,,,,,,,,,,10824.86,127000,30,,0.085235118,360.8286667,,0,72734.63,868878,146,19,0.083710981,498.1823973,3828.138421,0,-0.017881559,-0.017881559
Clinisol,Parenteral Amino Acid 15% No.5,1,2876996.56,32087820.32,16788,894,0.089660081,171.372204,3218.116958,0,3768192.77,42754598.63,23562,1193,0.088135379,159.9266943,3158.585725,0,3857191.41,43065126.5,24124,1271,0.089566471,159.8902093,3034.769009,0,3839576.34,39141805.53,24209,1246,0.098094002,158.6011954,3081.521942,0,3515522.02,34583054.03,22787,1063,0.10165447,154.2775275,3307.170292,0,0.03629649,0.031886281
Clinolipid,Fat Emulsion/Olive/Soy/Phospho,1,,,,,,,,,,,,,,,,,3556292.06,23344120.59,12973,936,0.152342087,274.1302752,3799.457329,0,9374495.34,62537603.28,34236,1476,0.149901737,273.8198195,6351.284106,0,8650685.66,51862600.75,30790,1319,0.166800074,280.9576375,6558.518317,0,0.112729432,0.046376961
Clinpro 5000,Fluoride (Sodium),1,43734.9,577407,4178,2183,0.075743626,10.4679033,20.03431058,0,59081.26,766113,5748,2919,0.077118206,10.2785769,20.24023981,0,58282.33,774007,5623,2776,0.075299487,10.36498844,20.99507565,0,82498.98,980479,7140,3433,0.084141506,11.55447899,24.03116225,0,102919.57,1225659,8623,4207,0.083970803,11.93547141,24.46388638,0,-0.002028769,0.026113858
Clobazam,Clobazam,16,4150442.51,520178,7204,4494,8.706432257,576.1302762,923.5519604,0,29731340.83,6813234.373,93224,11592,4.716589113,318.9236766,2564.815462,1,24231906.27,8800703.8,115885,13382,3.0029535,209.1030441,1810.78361,0,26028149.62,9818450.564,128084,14938,2.920084747,203.2115613,1742.411944,0,35365728.03,10731557.4,140997,16562,3.639819022,250.8261029,2135.353703,1,0.246477187,-0.195900316
Clobetasol Emollient,Clobetasol Propionate/Emoll,6,4583493.93,1889694.92,36278,21373,2.346374713,126.3436223,214.4525303,0,3792222.54,1670907.75,33350,19607,2.180331884,113.7098213,193.4116662,0,3773024.78,1687541,33361,19631,2.156768419,113.096873,192.1972788,0,3843246.87,1867552.9,37614,22133,1.994327477,102.1759683,173.643287,0,3982209.26,1812325.3,36021,20816,2.142052053,110.552435,191.3052104,0,0.074072377,-0.022519364
Clobetasol Emulsion,Clobetasol Propionate/Emoll,2,,,,989,,,,,124773,35450,339,651,3.520826757,368.0619469,191.6635945,0,166360.51,48100,532,420,3.458638462,312.7077256,396.0964524,0,181781.42,52800,611,384,3.442854501,297.514599,473.3891146,0,414910.32,114725,1387,904,3.620599628,299.1422639,458.9715929,0,0.051627255,0.009358122
Clobetasol Propionate,Clobetasol Propionate,30,182270960.8,81949349.48,1410349,755483,2.213195676,129.2381962,241.264146,0,147194113.9,84323235.23,1465569,779563,1.731863587,100.4347894,188.8161879,0,116605723.9,86884960.82,1564774,821618,1.333973318,74.51921101,141.9220658,0,118370677.4,100220750,1874822,1004413,1.16977697,63.13702176,117.8506027,0,134508231.3,104757545.4,1963008,1048687,1.285133728,68.52148909,128.2634678,0,0.098614318,-0.127064557
Clobex,Clobetasol Propionate,1,841954.74,255144,2210,1087,3.343895192,380.9749955,774.5673781,0,758087.55,222104,1868,944,3.360132956,405.8284529,803.0588453,0,685024.02,217756,1809,921,3.075937136,378.6755224,743.7828665,0,372700.52,121030,959,588,3.048118508,388.634536,633.8444218,0,148367.6,22550,187,88,6.606216975,793.4096257,1685.995455,0,1.167309755,0.185564112
Clocortolone Pivalate,Clocortolone Pivalate,2,,,,1096,,,,,38430.81,7275,151,1018,5.282585567,254.5086755,37.75128684,0,403994.7,75930,1294,1043,5.320620308,312.2061051,387.3391179,0,430750.61,81825,1342,946,5.264290987,320.9766095,455.3389112,0,291300.92,55740,981,750,5.228828004,296.9428338,388.4012267,0,-0.006736516,-0.003403696
Clodan,Clobetasol Propionate,1,25214.31,14514,98,61,1.737240595,257.2888776,413.3493443,0,14994.1,7670,49,27,1.954902216,306.0020408,555.337037,0,6524.08,4012,27,14,1.626141575,241.6325926,466.0057143,1,4400.18,3658,27,13,1.202892291,162.9696296,338.4753846,1,3284.74,2950,18,,1.113471186,182.4855556,,1,-0.074338413,-0.105243724
Cloderm,Clocortolone Pivalate,1,,,,199,,,,,13367.38,1785,33,153,7.488728291,405.0721212,87.36849673,0,96062.59,13095,220,190,7.33582207,436.6481364,505.592579,0,107020.88,13860,255,182,7.721564214,419.6897255,588.0268132,0,43811.73,5265,115,90,8.321316239,380.9715652,486.797,0,0.077672348,0.035765206
Clomid,Clomiphene Citrate,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24878.74,10156,248,209,2.449659315,100.3175,119.0370335,0,,
Clomiphene Citrate,Clomiphene Citrate,1,4752.63,1976,71,29,2.405177126,66.9384507,163.8837931,0,3214.19,867,31,11,3.707254902,103.6835484,292.1990909,1,215034.8,109178,3015,855,1.969579952,71.32165838,251.5026901,0,224326.87,110350,3050,931,2.032866969,73.54979344,240.9525994,0,199507.63,102442,2778,921,1.947517913,71.81700144,216.6206623,0,-0.041984575,-0.051398954
Clomipramine HCl,Clomipramine HCl,20,61292333.56,9829960.043,134017,16683,6.273662345,457.3474526,3673.939553,0,53488454.73,9578000.963,130231,16571,5.621042608,410.7198342,3227.835057,0,45262211.95,9482024.5,126672,15677,4.821311596,357.3182073,2887.173053,0,36923805.69,9218076.5,121696,15493,4.046890919,303.4101835,2383.257322,0,31798221.86,9099640.909,119469,15411,3.549491917,266.1629532,2063.345783,0,-0.122908922,-0.132716143
Clonazepam,Clonazepam,8,64371811.83,471905046.4,7954860,1474086,0.138138757,8.092136358,43.66896628,0,76742685.25,532864900.1,9387767,1412097,0.145580029,8.174753938,54.34661022,0,82443172.72,539422782.6,9514020,1391162,0.154536379,8.665440342,59.26209365,0,78505329.52,522223107.8,9250969,1366395,0.152156484,8.486173667,57.45434484,0,77260147.76,506811518.9,9049224,1336304,0.154180204,8.53776498,57.81629611,0,0.01330025,0.027846515
Clonidine,Clonidine,3,79658727.34,2989969.302,527934,106272,26.36416303,150.8876627,749.5739926,0,84524315.79,3074884.597,514995,106749,27.17065015,164.1264785,791.8042866,0,76482220.94,3104678.944,489400,103410,24.40647822,156.2775254,739.6017884,0,77544767.7,3073925.561,469572,103844,24.98547411,165.1392496,746.7428807,0,76073173.74,3009280.033,451271,101216,24.91957313,168.5753655,751.5923741,0,-0.002637572,-0.013989244
